,기업명,기업구분,기업구분코드,사원수,업력,입사율(%),퇴사율(%),이직율(%),별점,지역,홈페이지
52,(주)알파도,중소기업,3.0,11,4.0,115.38,161.54,140.01,3.5,서울 금천구,https://www.alphadopet.com
53,(주)타이드스퀘어,중소기업,3.0,297,13.0,104.22,70.04,67.2,2.6,서울 중구,www.tidesquare.com
54,(주)아이티엘,중소기업,3.0,26,9.0,54.0,36.0,66.67,2.9,서울 서초구,www.ipnow.co.kr
55,(주)넷앤드,중소기업,3.0,145,15.0,46.81,29.08,62.12,2.9,서울 영등포구,www.netand.co.kr
56,(주)이노그리드,중소기업,3.0,133,16.0,98.06,65.05,66.34,2.4,서울 중구,www.innogrid.com
57,콴텍(주),중소기업,3.0,24,13.0,122.22,94.44,77.27,2.9,서울 영등포구,www.quantec.co.kr
58,(주)스노우피크코리아,중소기업,3.0,33,15.0,33.0,33.0,100.0,2.6,서울 양천구,http://snowpeak.co.kr
59,(주)챔프스터디,중소기업,3.0,635,15.0,50.76,61.01,120.19,1.8,서울 서초구,www.champstudy.com
60,(주)오픈소스컨설팅,중소기업,3.0,66,10.0,51.56,32.81,63.63,2.5,서울 강남구,www.osci.kr
61,(주)올림커뮤니케이션즈,중소기업,3.0,17,13.0,366.67,251.85,68.69,3.6,충북 청주시,www.olym.co.kr
62,(주)에이스프로젝트,중소기업,3.0,56,11.0,41.46,31.71,76.48,4.1,서울 중구,www.aceproject.co.kr
63,(주)에이오팜,중소기업,3.0,9,1.0,42.86,0.0,0.0,0.0,경기 성남시,www.aiofarm.co.kr
64,(주)벨아이앤에스,중소기업,3.0,71,14.0,28.79,30.3,105.24,3.4,서울 서대문구,www.bellins.net
65,(주)리파인,중소기업,3.0,215,20.0,26.89,29.25,108.78,2.4,서울 강남구,www.refine.co.kr
66,(주)와치텍,중소기업,3.0,110,23.0,19.09,20.0,104.77,3.0,서울 영등포구,www.watchtek.co.kr
67,(주)이노메트리,중소기업,3.0,143,14.0,123.91,68.48,55.27,1.0,경기 화성시,www.innometry.com
68,(주)미스터픽,중소기업,3.0,26,9.0,31.43,40.0,127.27,3.3,서울 강남구,www.mrpic.co.kr/
69,기흥인터내셔널(유),중소기업,3.0,85,15.0,109.0,0.0,0.0,2.3,서울 강남구,http://www.khg.kr/
70,(주)이앤에프어드바이저,중소기업,3.0,13,5.0,77.78,33.33,42.85,4.3,서울 영등포구,www.enfadvisor.com
71,(주)포비즈코리아,중소기업,3.0,83,12.0,38.1,38.1,100.0,2.3,서울 서초구,www.forbiz.co.kr
72,(주)셀티움,중소기업,3.0,7,2.0,316.67,316.67,100.0,2.5,경기 수원시,www.celltium.com
73,(주)슈퍼브에이아이,중소기업,3.0,99,4.0,231.25,95.83,41.44,4.0,서울 강남구,www.superb-ai.com
74,(주)미창,중소기업,3.0,14,16.0,30.26,26.32,86.98,2.3,경기 부천시,www.mi-chang.com
75,(주)직방,중소기업,3.0,317,12.0,89.86,31.12,34.63,3.1,서울 강남구,company.zigbang.com/
76,(주)레인보우8,중소기업,3.0,35,9.0,32.0,23.0,71.88,3.3,서울 강남구,www.rainbow.co.kr
77,크레파스솔루션(주),중소기업,3.0,20,6.0,69.57,52.17,74.99,1.8,서울 마포구,www.crepass.com/
78,오토시맨틱스(주),중소기업,3.0,14,6.0,38.1,71.43,187.48,2.1,서울 성동구,www.autosemantics.co.kr
79,(주)페니로이스,중소기업,3.0,23,14.0,30.77,42.31,137.5,3.0,서울 종로구,www.panirois.com
80,(주)핀인사이트,중소기업,3.0,11,7.0,31.25,50.0,160.0,5.0,서울 동작구,https://fins.ai
81,(주)아이투맥스,중소기업,3.0,163,20.0,41.33,30.67,74.21,2.9,서울 마포구,www.i2max.co.kr
82,(주)심네트,중소기업,3.0,222,23.0,28.86,22.82,79.07,2.1,대전 유성구,www.simnet.co.kr
83,(주)퀀팃,중소기업,3.0,45,4.0,109.68,61.29,55.88,4.7,서울 영등포구,quantit.io
84,세종경영자문(주),중소기업,3.0,19,14.0,166.67,140.0,84.0,1.7,서울 종로구,http://sjcounsel.com/
85,(주)이지스,중소기업,3.0,66,21.0,24.62,32.31,131.23,2.9,대구 수성구,www.egiskorea.com
86,(주)에이치에스오코리아,중소기업,3.0,3,3.0,180.0,120.0,66.67,0.0,서울 마포구,www.hsokorea.com
87,(주)아이유노글로벌,중소기업,3.0,224,18.0,54.82,39.09,71.31,2.2,서울 마포구,iyuno.com
88,아우토크립트(주),중소기업,3.0,224,4.0,141.6,44.0,31.07,3.4,서울 영등포구,autocrypt.co.kr
89,솔트웨어(주),중소기업,3.0,95,4.0,32.1,129.63,403.83,2.4,서울 구로구,www.saltware.co.kr
90,코리아스펙트랄프로덕츠(주),중소기업,3.0,25,19.0,11.54,15.38,133.28,2.7,서울 구로구,http://www.ksp.co.kr
91,(주)무신사,중소기업,3.0,943,10.0,137.96,39.2,28.41,2.7,서울 성동구,www.musinsa.com
92,(주)위즈코리아,중소기업,3.0,63,20.0,34.38,39.06,113.61,1.9,서울 강서구,www.weeds.co.kr
93,(주)더베스트페이,중소기업,3.0,24,20.0,15.38,11.54,75.03,2.6,서울 강서구,http://www.thebestpay.co.kr
94,케이아이티밸리(주),중소기업,3.0,80,25.0,27.85,25.32,90.92,3.0,서울 금천구,www.kitvalley.com
95,(주)버블콘,중소기업,3.0,20,4.0,82.35,52.94,64.29,2.0,서울 구로구,http://www.bubblecon.io
96,에스케이시그넷(주),중소기업,3.0,178,6.0,101.18,22.49,22.23,2.4,전남 영광군,https://sksignet.com/
97,(주)바인테크,중소기업,3.0,40,21.0,35.71,47.62,133.35,2.6,서울 송파구,www.vinetech.co.kr
98,(주)엔켐,중소기업,3.0,261,10.0,90.32,58.53,64.8,2.5,충북 제천시,www.enchem.net
99,(주)에이티솔루션,중소기업,3.0,20,5.0,7.14,28.57,400.14,4.0,부산 기장군,http://www.atsol.co.kr/
100,에이엠스퀘어(주),중소기업,3.0,11,3.0,62.5,25.0,40.0,0.0,경북 포항시,amsquare.ai
101,㈜더아이엠씨,중소기업,3.0,61,19.0,60.0,40.0,66.67,2.2,대구 수성구,http://www.theimc.co.kr/
102,아이티사이언스(주),중소기업,3.0,162,20.0,33.12,16.56,50.0,2.5,경기 안양시,www.itscience.co.kr
103,시큐웍스(대전),중소기업,3.0,21,4.0,62.5,79.17,126.67,1.0,대전 유성구,www.secu-works.com
104,(주)데이터에듀,중소기업,3.0,32,3.0,183.87,151.61,82.45,1.8,부산 해운대구,www.dataedu.co.kr
105,(주)제이에스티앤랩,중소기업,3.0,18,14.0,35.0,60.0,171.43,2.7,인천 연수구,www.js-t.co.kr
106,(주)클로버스튜디오,중소기업,3.0,15,3.0,145.45,118.18,81.25,2.0,인천 연수구,http://www.clrobur.com/en/
107,(주)시스콘,중소기업,3.0,120,9.0,91.78,26.03,28.36,2.9,인천 서구,www.syscon.kr
108,(주)메디칼파크,중소기업,3.0,77,14.0,39.13,15.94,40.74,2.9,경기 용인시,imedicalpark.com
109,(주)다누시스,중소기업,3.0,61,20.0,64.71,49.02,75.75,2.9,경기 광명시,www.danusys.com
110,쿤텍(주),중소기업,3.0,39,6.0,103.33,60.0,58.07,3.4,경기 성남시,www.coontec.com
111,(주)데이터메이커,중소기업,3.0,60,4.0,70.97,85.48,120.45,3.9,대전 유성구,www.datamaker.io
112,비앤에프테크놀로지(주),중소기업,3.0,77,22.0,43.64,36.36,83.32,3.2,대전 유성구,www.bnftech.com
113,(주)두잇시스템,중소기업,3.0,223,18.0,22.48,19.27,85.72,2.5,서울 영등포구,www.doitsys.co.kr
114,주식회사 미코,중소기업,3.0,2,7.0,37.5,19.17,51.12,2.8,인천 서구,
115,(주)두플,중소기업,3.0,32,8.0,36.67,23.33,63.62,2.6,경기 성남시,www.doople.net
116,(주)얼라인드제네틱스,중소기업,3.0,52,14.0,40.0,22.22,55.55,3.3,경기 안양시,www.alignedgenetics.com
117,(주)동서가구,중소기업,3.0,85,9.0,72.58,77.42,106.67,2.0,경기 성남시,www.dongsuhfurniture.co.kr
118,(주)제이숲,중소기업,3.0,52,7.0,74.07,59.26,80.01,3.4,경기 의정부시,www.jsoop.co.kr
119,(주)투버미디어,중소기업,3.0,12,18.0,12.5,12.5,100.0,2.0,대구 남구,www.2ver.com
120,주식회사 명품입찰,중소기업,3.0,50,7.0,81.4,79.07,97.14,2.7,대전 동구,www.mpbid.co.kr
121,스포츠투아이(주),중소기업,3.0,66,23.0,41.67,35.0,83.99,2.7,경기 성남시,www.sports2i.com
122,(주)아이비젼웍스,중소기업,3.0,70,7.0,108.47,42.37,39.06,4.4,대전 유성구,https://ivw-sw.notion.site/9d6d04ea74b64bd6a7f7251a0464b6e5
123,에프원소프트(주),중소기업,3.0,26,13.0,35.14,37.84,107.68,2.5,경기 화성시,www.f1soft.co.kr
124,(주)에스티에이테스팅컨설팅,중소기업,3.0,185,19.0,32.71,45.79,139.99,2.5,서울 강남구,www.sta.co.kr
125,(주)플랜아이,중소기업,3.0,116,18.0,30.36,28.57,94.1,3.0,대전 유성구,www.plani.co.kr
126,(주)발렌타인드림,중소기업,3.0,45,4.0,175.86,127.59,72.55,2.7,서울 강남구,www.bdm.works/
127,(주)더컴퍼니,중소기업,3.0,3,6.0,28.57,42.86,150.02,2.5,경남 창원시,bestco.kr
128,(주)이루온아이앤에스,중소기업,3.0,60,21.0,43.1,44.83,104.01,3.3,경기 성남시,www.eluonins.com
129,(주)인실리코젠,중소기업,3.0,60,17.0,42.86,20.41,47.62,2.7,경기 용인시,insilicogen.com
130,(주)아인스텍,중소기업,3.0,12,20.0,54.0,58.0,107.41,2.5,경기 고양시,www.einstek.com
131,동아출판(주),중견기업,2.0,283,14.0,27.18,25.09,92.31,2.5,서울 영등포구,www.dongapublishing.com
132,고려해운(주),중견기업,2.0,739,37.0,9.68,11.61,119.94,3.3,서울 중구,www.kmtc.co.kr
133,(주)엔에이치엔다이퀘스트,중견기업,2.0,197,22.0,55.49,26.01,46.87,2.9,서울 구로구,www.diquest.com
134,㈜칸테크,중견기업,2.0,45,28.0,27.0,13.0,48.15,2.7,서울 금천구,http://www.khantech.co.kr
135,(주)트랜스코스모스코리아,중견기업,2.0,9658,21.0,106.63,99.05,92.89,2.6,서울 영등포구,www.trans-cosmos.co.kr
136,(주)모나미,중견기업,2.0,200,55.0,44.69,30.17,67.51,2.0,경기 용인시,www.monami.com
137,(주)더블유게임즈,중견기업,2.0,321,10.0,43.59,27.84,63.87,3.3,서울 강남구,www.doubleugames.com
138,(주)NE능률,중견기업,2.0,320,28.0,16.0,19.0,118.75,2.9,서울 마포구,www.neungyule.com
139,키스자산평가(주),중견기업,2.0,141,22.0,37.24,35.86,96.29,2.7,서울 영등포구,www.bond.co.kr
140,이투스에듀(주),중견기업,2.0,686,24.0,27.21,119.4,438.81,0.0,서울 강남구,www.etoos.com
141,메가존클라우드(주),중견기업,2.0,900,4.0,108.89,32.89,30.2,2.7,서울 강남구,www.megazone.com/
142,메가존소프트(주),중견기업,2.0,106,1.0,63.22,35.63,56.36,3.8,서울 강남구,http://www.megazone.com/
143,메가존(주),중견기업,2.0,524,21.0,57.89,40.41,69.8,2.7,서울 강남구,https://megazone.com
144,(주)퍼시스,중견기업,2.0,219,39.0,26.82,20.0,74.57,3.0,서울 송파구,www.fursys.com
145,(주)시몬스,중견기업,2.0,643,30.0,37.97,39.53,104.11,2.3,경기 이천시,www.simmons.co.kr
146,메가스터디교육(주),중견기업,2.0,1431,7.0,79.03,64.34,81.41,2.5,서울 서초구,http://corp.megastudy.net
147,(주)에이아이매틱스,중견기업,2.0,78,19.0,70.0,62.5,89.29,2.1,서울 영등포구,www.aimatics.ai
148,한영회계법인,중견기업,2.0,1274,40.0,52.72,39.83,75.55,3.1,서울 영등포구,www.ey.com/kr
149,현대엘엔지해운(주),중견기업,2.0,341,8.0,53.27,44.12,82.82,3.3,서울 중구,www.hls.co.kr
150,한국자산평가(주),중견기업,2.0,220,22.0,46.05,37.21,80.8,3.2,서울 종로구,www.koreaap.com
151,웰컴저축은행(주),중견기업,2.0,755,9.0,29.74,29.48,99.13,2.4,서울 용산구,www.welcomebank.co.kr
152,(주)파츠몰,중견기업,2.0,32,24.0,14.71,23.53,159.96,2.5,경기 고양시,www.parts-mall.com
153,(주)유라,중견기업,2.0,490,9.0,23.0,19.62,85.3,2.2,경기 화성시,www.yura.co.kr
154,(주)스마일게이트엔터테인먼트,중견기업,2.0,791,20.0,25.77,17.6,68.3,3.3,경기 성남시,www.smilegate.com
155,SK텔레콤(주),대기업,1.0,5376,38.0,11.71,12.31,105.12,4.0,서울 중구,www.sktelecom.com
156,동국시스템즈(주),대기업,1.0,333,25.0,24.53,19.57,79.78,2.9,서울 중구,www.dongkuksystems.com
157,AJ네트웍스(주),대기업,1.0,533,22.0,31.36,19.49,62.15,2.5,서울 송파구,www.ajnet.co.kr
158,(주)오토피온,대기업,1.0,53,9.0,25.0,50.0,200.0,2.2,서울 강서구,http://autopion.com
159,㈜네오플,대기업,1.0,1140,21.0,26.0,10.0,38.46,3.7,제주 제주시,www.neople.co.kr
160,유빈스(주),대기업,1.0,553,17.0,19.4,20.15,103.87,2.5,경기 군포시,www.ubins.co.kr
161,(주) LG CNS,대기업,1.0,6603,35.0,14.3,10.83,75.73,3.1,서울 강서구,www.lgcns.com
162,(주)더비즈,대기업,1.0,65,13.0,83.0,51.0,61.45,0.0,서울 서초구,land.mk.co.kr/memul
163,(주)에브리플레이,대기업,1.0,54,6.0,31.48,20.37,64.71,3.4,서울 금천구,m.everyfit.co.kr/Go/i
164,디에스엠이정보시스템(주),대기업,1.0,217,6.0,15.98,26.94,168.59,3.0,경남 거제시,www.dsmeinc.com
165,네이버제트(주),대기업,1.0,252,2.0,90.38,42.26,46.76,4.2,경기 성남시,https://www.naverz-corp.com/
166,캐논코리아 주식회사,대기업,1.0,1169,37.0,24.69,30.49,123.49,2.7,서울 강남구,https://kr.canon/
167,에이에스이코리아(주),기타,4.0,1885,55.0,20.18,19.8,98.12,2.4,경기 파주시,www.asekr.com
168,(주)앤씨앤,기타,4.0,117,25.0,44.86,38.32,85.42,2.7,경기 성남시,www.nc-and.com
169,이루온,기타,4.0,83,24.0,11.9,13.1,110.08,2.5,경기 성남시,www.eluon.com
170,한국메티슨특수가스(주),기타,4.0,197,27.0,40.8,20.69,50.71,2.8,충남 아산시,www.mgpk.co.kr
171,(주)플랜티넷,기타,4.0,78,22.0,30.77,32.05,104.16,2.5,경기 성남시,www.plantynet.com
172,(주)한컴라이프케어,기타,4.0,237,26.0,12.35,21.81,176.6,1.9,경기 용인시,www.hancomlifecare.com
173,(주)엔텔스,기타,4.0,222,22.0,18.94,23.79,125.61,2.8,서울 강남구,www.ntels.com
174,지오시스(유),기타,4.0,242,12.0,22.08,30.83,139.63,2.2,서울 강남구,www.qoo10.com
175,(주)퓨전소프트,기타,4.0,120,23.0,39.78,15.05,37.83,3.0,대구 동구,www.fusionsoft.co.kr
176,(주)비솔,기타,4.0,27,22.0,28.13,12.5,44.44,2.1,경기 광명시,www.visol.co.kr
177,(주)동아엘텍,기타,4.0,131,23.0,9.16,6.87,75.0,2.8,경기 안양시,www.dongaeltek.co.kr
178,(주)오비고,기타,4.0,111,19.0,36.84,20.0,54.29,3.2,경기 성남시,www.obigo.com
179,이스트소프트,기타,4.0,187,29.0,48.31,43.82,90.71,3.3,서울 서초구,www.estsoft.ai/
180,(주)유니텍,기타,4.0,36,33.0,8.82,23.53,266.78,2.2,경기 안양시,www.unitech.co.kr
181,(주)우리기술,기타,4.0,115,27.0,8.77,5.26,59.98,2.2,서울 마포구,www.wooritg.com
182,한국쓰리엠(주),기타,4.0,1686,45.0,7.25,8.0,110.34,3.7,서울 영등포구,www.3m.co.kr
183,에스지에이(주),기타,4.0,193,25.0,80.61,70.92,87.98,2.5,서울 송파구,www.sgacorp.kr
184,주식회사 한국미래에너지,기타,4.0,25,6.0,42.31,84.62,200.0,3.0,부산 강서구,www.rfems.com
