기업명,별점,입사율,퇴사율
(주)이노그리드,2.4,98.06 % (101 명),65.05 % (67 명)
메가존클라우드(주),2.7,108.89 % (821 명),32.89 % (248 명)
콴텍(주),2.9,122.22 % (22 명),94.44 % (17 명)
메가존소프트(주),3.8,63.22 % (55 명),35.63 % (31 명)
(주)스노우피크코리아,2.6,,
(주)이엠포커스,,41.18 % (7 명),0.00 % (0 명)
(주)비솔,2.1,28.13 % (9 명),12.50 % (4 명)
(주)챔프스터디,1.8,50.76 % (302 명),61.01 % (363 명)
(주)오픈소스컨설팅,2.5,51.56 % (33 명),32.81 % (21 명)
(주)올림커뮤니케이션즈,3.6,366.67 % (99 명),251.85 % (68 명)
(주)코난테크놀로지,2.5,43.02 % (77 명),36.31 % (65 명)
(주)엔켐,2.5,90.32 % (196 명),58.53 % (127 명)
한국유미코아(유),2.8,200.00 % (26 명),46.15 % (6 명)
(주)프로앱텍,,68.75 % (11 명),75.00 % (12 명)
한국쓰리엠(주),3.7,7.25 % (88 명),8.00 % (97 명)
(주)에이오팜,0,42.86 % (3 명),0.00 % (0 명)
크레파스솔루션(주),1.8,69.57 % (16 명),52.17 % (12 명)
오토시맨틱스(주),2.1,38.10 % (8 명),71.43 % (15 명)
(주)바이오커넥트,,0.00 % (0 명),50.00 % (4 명)
(주)에이티솔루션,4,7.14 % (1 명),28.57 % (4 명)
(주)페니로이스,3,30.77 % (8 명),42.31 % (11 명)
(주)유니텍,2.2,8.82 % (3 명),23.53 % (8 명)
에이엠스퀘어(주),0,62.50 % (5 명),25.00 % (2 명)
(주)교원,2.7,28.67 % (367 명),31.95 % (409 명)
(주)에이아이매틱스,2.1,70.00 % (56 명),62.50 % (50 명)
(주)삼육오엠씨네트웍스,2.3,68.75 % (11 명),43.75 % (7 명)
(주)셀티움,2.5,316.67 % (19 명),316.67 % (19 명)
(주)마크클라우드,1,100.00 % (22 명),72.73 % (16 명)
(주)핀인사이트,5,31.25 % (5 명),50.00 % (8 명)
(주) LG CNS,3.1,14.30 % (899 명),10.83 % (681 명)
(주)플라잎,4,,
한영회계법인,3.1,52.72 % (1133 명),39.83 % (856 명)
(주)테서,4,108.33 % (13 명),133.33 % (16 명)
(주)아이투맥스,2.9,41.33 % (62 명),30.67 % (46 명)
현대엘엔지해운(주),3.3,53.27 % (163 명),44.12 % (135 명)
(주)마인즈앤컴퍼니,3.6,111.43 % (39 명),77.14 % (27 명)
한국자산평가(주),3.2,46.05 % (99 명),37.21 % (80 명)
아이티컨버젼스(주),2.1,,
웰컴저축은행(주),2.4,29.74 % (221 명),29.48 % (219 명)
(주)에너자이,,50.00 % (7 명),21.43 % (3 명)
아리아엣지(주),4,,
(주)한국리서치,2.9,64.33 % (220 명),63.45 % (217 명)
(주)딥핑소스,3.8,94.00 % (47 명),82.00 % (41 명)
데이터플로,2.8,64.29 % (9 명),50.00 % (7 명)
(주)엠로,3.1,38.63 % (90 명),20.60 % (48 명)
(주)인포마이닝,0,27.59 % (8 명),34.48 % (10 명)
엔라이튼(주),4.5,153.85 % (20 명),53.85 % (7 명)
엔라이튼(주),3.2,96.67 % (87 명),83.33 % (75 명)
주식회사 엑세스워터,,175.00 % (7 명),175.00 % (7 명)
㈜더아이엠씨,2.2,,
(주)하이퍼그로스,,,
(주)심네트,2.1,28.86 % (43 명),22.82 % (34 명)
(주)빅픽처팀,3.3,80.87 % (93 명),66.09 % (76 명)
(주)우리기술,2.2,8.77 % (10 명),5.26 % (6 명)
바이오링크 주식회사,,,
비바시스템즈코리아(유),3.3,56.25 % (27 명),25.00 % (12 명)
아이티사이언스(주),2.5,33.12 % (52 명),16.56 % (26 명)
(주)폼즈,,42.86 % (3 명),114.29 % (8 명)
(주)모빌테크,2,70.77 % (46 명),43.08 % (28 명)
(주)파츠몰,2.5,14.71 % (5 명),23.53 % (8 명)
시큐웍스(대전),1,62.50 % (15 명),79.17 % (19 명)
디에스엠이정보시스템(주),3,15.98 % (35 명),26.94 % (59 명)
(주)퀀팃,4.7,109.68 % (34 명),61.29 % (19 명)
세종경영자문(주),1.7,166.67 % (25 명),140.00 % (21 명)
(주)데이터에듀,1.8,183.87 % (57 명),151.61 % (47 명)
마인드원(주),2.6,73.68 % (28 명),55.26 % (21 명)
(주)이글루코퍼레이션,2.7,36.46 % (342 명),32.41 % (304 명)
(주)이지스,2.9,24.62 % (16 명),32.31 % (21 명)
(주)제이에스티앤랩,2.7,35.00 % (7 명),60.00 % (12 명)
(주)피타그래프,,,
(주)코아시아씨엠,,13.33 % (6 명),51.11 % (23 명)
㈜에스엠투네트웍스,2.8,,
(주)클로버스튜디오,2,145.45 % (16 명),118.18 % (13 명)
이마고웍스(주),0,66.67 % (26 명),25.64 % (10 명)
포체인스(주),,- % (23 명),- % (4 명)
에이아이브레인(주),,28.57 % (2 명),71.43 % (5 명)
(주)슈퍼브에이아이,4,231.25 % (111 명),95.83 % (46 명)
(주)시스콘,2.9,91.78 % (67 명),26.03 % (19 명)
(주)리빌더에이아이,0,- % (19 명),- % (1 명)
(주)메디칼파크,2.9,39.13 % (27 명),15.94 % (11 명)
(주)다누시스,2.9,64.71 % (33 명),49.02 % (25 명)
쿤텍(주),3.4,103.33 % (31 명),60.00 % (18 명)
(주)뉴로다임,,33.33 % (3 명),11.11 % (1 명)
(주)데이터메이커,3.9,70.97 % (44 명),85.48 % (53 명)
