,Unnamed: 0,기업명,기업구분,사원수,설립일(업력),홈페이지,지역
45,46,(주)지니,"중소기업, 스타트업, 외부감사법인, 주식..",124 명  (2022년 기준),2009년 8월 18일 (업력 13년) ,www.newjini.co.kr,경기 성남시
46,47,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",0,0,passorder.co.kr,부산 부산진구
47,48,(주)세마그룹,"중소기업, 주식회사",0,0,semaconsulting.co.kr,-
48,49,㈜데이타메이션,"중소기업, 주식회사",0,0,www.datamation.co.kr,서울 구로구
49,50,리뷰플레이스,"중소기업, 주식회사",0,0,www.reviewplace.co.kr,서울 금천구
50,51,(주)더블유게임즈,"코스피, 중견기업, 스타트업, 주식회사, ..",0,0,www.doubleugames.com,서울 강남구
51,52,(주)아이디어키,"중소기업, 주식회사",93 명  (2021년 기준),2005년 4월 6일 (업력 17년) ,www.ideakey.co.kr,서울 강남구
52,53,틱톡,,0,2018년 6월 19일 (업력 4년) ,careers.tiktok.com,서울 강남구
53,54,틱톡,,0,2018년 6월 19일 (업력 4년) ,careers.tiktok.com,서울 강남구
54,55,(주)슈가힐,"중소기업, 스타트업, 주식회사",82 명  (2021년 기준),2016년 12월 19일 (업력 6년) ,http://www.sugarhill.co.kr/,서울 강남구
55,56,(주)플렉싱크,"중소기업, 주식회사",20 명  (2020년 기준),2010년 4월 28일 (업력 12년) ,http://www.flexink.com,제주 제주시
56,57,틱톡,,0,2018년 6월 19일 (업력 4년) ,careers.tiktok.com,서울 강남구
57,58,틱톡,,0,2018년 6월 19일 (업력 4년) ,careers.tiktok.com,서울 강남구
58,59,틱톡,,0,2018년 6월 19일 (업력 4년) ,careers.tiktok.com,서울 강남구
59,60,(주)지이씨엘코리아,"중소기업, 주식회사",28 명  (2022년 기준),2017년 1월 26일 (업력 5년) ,http://www.gecl.co.kr,서울 금천구
60,61,AJ네트웍스(주),"코스피, 대기업, 주식회사",533 명  (2022년 기준),2000년 2월 10일 (업력 22년) ,www.ajnet.co.kr,서울 송파구
61,62,주식회사 리만코리아,"중견기업, 주식회사, 외부감사법인",0,0,www.rimankorea.co.kr,-
62,63,(주)디알텍,"코스닥, 중소기업, 주식회사, 병역특례 ..",278 명  (2022년 기준),2015년 2월 3일 (업력 7년) ,www.drtech.co.kr,경기 성남시
63,64,(주)엔젤로보틱스,"중소기업, 연구소, 주식회사, 병역특례 ..",62 명  (2021년 기준),2017년 2월 10일 (업력 5년) ,angel-robotics.com/kr/,서울 성동구
64,65,(주)애드,중소기업,0,2018년 4월 17일 (업력 4년) ,addd.kr,대전 서구
65,66,넛지헬스케어(주),"중소기업, 외부감사법인, 주식회사, 병역..",104 명  (2021년 기준),2016년 7월 27일 (업력 6년) ,www.cashwalk.co/,서울 강남구
66,67,(주)엠에스링크앤솔루션,"중소기업, 주식회사",0,0,www.mslk.co.kr,서울 성동구
67,68,(주)오토피온,대기업,53 명  (2022년 기준),2013년 12월 2일 (업력 9년) ,http://autopion.com,서울 강서구
68,69,(주)캐시카우,"중소기업, 주식회사",15 명  (2018년 기준),2014년 10월 23일 (업력 8년) ,www.cash-cow.co.kr,경기 성남시
69,70,(주)온마이뎁,중소기업,0,2021년 1월 29일 (업력 1년) ,,경기 성남시
70,71,(주)모비젠,"중소기업, 외부감사법인, 연구소, 주식회..",0,0,www.mobigen.com,서울 송파구
71,72,㈜네오플,"대기업, 1000대기업, 외부감사법인",0,0,www.neople.co.kr,제주 제주시
72,73,(주)에이아이스페라,"중소기업, 주식회사, 병역특례 인증업체",0,0,,서울 성동구
73,74,(주)에이아이스페라,"중소기업, 주식회사, 병역특례 인증업체",0,0,,서울 성동구
74,75,(주)핀샷,중소기업,0,2016년 3월 28일 (업력 6년) ,,서울 영등포구
75,76,(주)스마트프로,"중소기업, 주식회사",15 명  (2021년 기준),2016년 6월 17일 (업력 6년) ,www.smart-pro.co.kr,대전 유성구
76,77,(주)모림,"중견기업, 주식회사, 수출입 기업",0,0,noxglobal.com,서울 서초구
77,78,제이어스(주),중소기업,0,2014년 11월 18일 (업력 8년) ,www.jeios.com,부산 사상구
78,79,(주)스위트케이,"중소기업, 주식회사",42 명  (2022년 기준),2013년 12월 11일 (업력 9년) ,sweetk.co.kr,경기 안양시
79,80,(주)그린앤그레이,중소기업,0,0,,서울 강남구
80,81,(주)아울시스템즈,"중소기업, 주식회사",0,0,www.owlsystems.co.kr,서울 영등포구
81,82,(주)플랜티넷,"코스닥, 외부감사법인, 주식회사, 병역특..",0,0,www.plantynet.com,경기 성남시
