,Unnamed: 0,기업명,기업구분,사원수,설립일(업력),홈페이지,지역
210,211,(주)이노그리드,"중소기업, 연구소, 주식회사, 병역특례 ..",133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구
211,212,(주)에이아이매틱스,"중견기업, 외부감사법인, 주식회사, 병역..",78 명  (2020년 기준),2003년 7월 1일 (업력 19년) ,www.aimatics.ai,서울 영등포구
212,213,(주)핀인사이트,중소기업,11 명  (2019년 기준),2015년 9월 17일 (업력 7년) ,,서울 동작구
213,214,한영회계법인,"중견기업, 외국 법인기업, 외부감사법인",1274 명  (2022년 기준),1982년 3월 25일 (업력 40년) ,www.ey.com/kr,서울 영등포구
214,215,(주)아이투맥스,"중소기업, 주식회사",0,0,www.i2max.co.kr,서울 마포구
215,216,(주)이노그리드,"중소기업, 연구소, 주식회사, 병역특례 ..",133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구
216,217,현대엘엔지해운(주),"중견기업, 주식회사",341 명  (2021년 기준),2014년 3월 31일 (업력 8년) ,www.hls.co.kr,서울 중구
217,218,한국자산평가(주),"중견기업, 외부감사법인, 병역특례 인증..",220 명  (2021년 기준),0,www.koreaap.com,서울 종로구
218,219,아이티컨버젼스(주),"중소기업, 주식회사",0,2014년 11월 4일 (업력 8년) ,www.itconv.co.kr,서울 송파구
219,220,웰컴저축은행(주),"중견기업, 금융기관, 주식회사",0,0,www.welcomebank.co.kr,서울 용산구
220,221,(주)심네트,"중소기업, 주식회사, 병역특례 인증업체",222 명  (2021년 기준),1999년 3월 15일 (업력 23년) ,www.simnet.co.kr,대전 유성구
221,222,(주)우리기술,"코스닥, 외부감사법인, 수출입 기업",115 명  (2022년 기준),1995년 1월 12일 (업력 27년) ,www.wooritg.com,서울 마포구
222,223,(주)퀀팃,중소기업,0,0,quantit.io,서울 영등포구
223,224,세종경영자문(주),중소기업,0,0,,서울 종로구
224,225,(주)이지스,"중소기업, 수출입 기업",66 명  (2022년 기준),2001년 2월 26일 (업력 21년) ,www.egiskorea.com,대구 수성구
225,226,(주)우리기술,"코스닥, 외부감사법인, 수출입 기업",115 명  (2022년 기준),1995년 1월 12일 (업력 27년) ,www.wooritg.com,서울 마포구
226,227,(주)와치텍,"중소기업, 수출입 기업",110 명  (2021년 기준),1999년 1월 13일 (업력 23년) ,www.watchtek.co.kr,서울 영등포구
227,228,(주)에이치에스오코리아,"중소기업, 외국인 투자기업",0,2019년 2월 15일 (업력 3년) ,www.hsokorea.com,서울 마포구
228,229,한국쓰리엠(주),"외국 법인기업, 외부감사법인, 연구소, ..",1686 명  (2022년 기준),1977년 9월 17일 (업력 45년) ,www.3m.co.kr,서울 영등포구
229,230,(주)아이유노글로벌,"중소기업, 외국인 투자기업, 주식회사",0,2004년 9월 3일 (업력 18년) ,iyuno.com,서울 마포구
230,231,아우토크립트(주),"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,autocrypt.co.kr,서울 영등포구
231,232,아우토크립트(주),"중소기업, 연구소, 주식회사, 병역특례 ..",0,0,autocrypt.co.kr,서울 영등포구
232,233,솔트웨어(주),"코스닥, 중소기업, 외부감사법인, 병역특..",0,0,www.saltware.co.kr,서울 구로구
233,234,에스지에이(주),"코스닥, 외국인 투자기업, 외부감사법인",193 명  (2022년 기준),1997년 11월 21일 (업력 25년) ,www.sgacorp.kr,서울 송파구
234,235,코리아스펙트랄프로덕츠(주),"중소기업, 외국인 투자기업, 수출입 기업",25 명  (2020년 기준),2003년 6월 19일 (업력 19년) ,http://www.ksp.co.kr,서울 구로구
235,236,(주)무신사,중소기업,943 명  (2021년 기준),2012년 6월 25일 (업력 10년) ,www.musinsa.com,서울 성동구
236,237,(주)바이브온코퍼레이션,"중소기업, 주식회사",0,2021년 4월 16일 (업력 1년) ,www.vibeon.ai,서울 마포구
237,238,(주)국동,"코스피, 주식회사, 외부감사법인, 수출입..",61 명  (2022년 기준),1967년 12월 8일 (업력 55년) ,www.kd.co.kr,서울 동대문구
238,239,콴텍(주),"중소기업, 스타트업, 주식회사",0,0,www.quantec.co.kr,서울 영등포구
239,240,디지털뉴트리션,주식회사,0,2022년 3월 18일 (업력 0년) ,,서울 마포구
240,241,주식회사 옳은일,,0,0,,서울 성동구
241,242,(주)위즈코리아,"중소기업, 주식회사",0,0,www.weeds.co.kr,서울 강서구
242,243,(주)비포플레이,"중소기업, 주식회사",0,2020년 7월 17일 (업력 2년) ,www.b4play.io,서울 강남구
243,244,(주)에브리플레이,"대기업, 주식회사",54 명  (2022년 기준),0,m.everyfit.co.kr/Go/i,서울 금천구
244,245,지성컨설팅,,0,0,,서울 마포구
245,246,(주)더베스트페이,"중소기업, 주식회사",24 명  (2021년 기준),2002년 1월 14일 (업력 20년) ,http://www.thebestpay.co.kr,서울 강서구
246,247,케이아이티밸리(주),중소기업,0,0,www.kitvalley.com,서울 금천구
247,248,(주)버블콘,"중소기업, 주식회사",0,0,,서울 구로구
248,249,(주)크릭인텍,"중소기업, 주식회사",0,2019년 10월 30일 (업력 3년) ,www.cricit.kr,서울 성동구
249,250,(주)뉴인,"중소기업, 주식회사",29 명  (2021년 기준),0,touchclass.com,서울 마포구
250,251,(주)이노그리드,"중소기업, 연구소, 주식회사, 병역특례 ..",133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구
251,252,(주)이노그리드,"중소기업, 연구소, 주식회사, 병역특례 ..",133 명  (2022년 기준),2006년 10월 2일 (업력 16년) ,www.innogrid.com,서울 중구
252,253,주식회사 그라운드원,"중소기업, 주식회사",0,0,,서울 중구
253,254,(주)디지털존,"중소기업, 스타트업, 외부감사법인, 수출..",83 명  (2021년 기준),1999년 2월 11일 (업력 23년) ,www.digitalzone.co.kr,서울 구로구
254,255,에스케이시그넷(주),"코넥스, 중소기업, 주식회사, 외부감사법..",178 명  (2021년 기준),2016년 12월 13일 (업력 6년) ,https://sksignet.com/,전남 영광군
255,256,(주)바인테크,"중소기업, 외부감사법인, 주식회사, 병역..",40 명  (2021년 기준),2001년 4월 25일 (업력 21년) ,www.vinetech.co.kr,서울 송파구
256,257,한국메티슨특수가스(주),"외국인 투자기업, 외부감사법인, 수출입 ..",197 명  (2022년 기준),1995년 9월 1일 (업력 27년) ,www.mgpk.co.kr,충남 아산시
257,258,(주)지니,"중소기업, 스타트업, 외부감사법인, 주식..",124 명  (2022년 기준),2009년 8월 18일 (업력 13년) ,www.newjini.co.kr,경기 성남시
258,259,(주)세마그룹,"중소기업, 주식회사",0,0,semaconsulting.co.kr,-
259,260,(주)플렉싱크,"중소기업, 주식회사",20 명  (2020년 기준),2010년 4월 28일 (업력 12년) ,http://www.flexink.com,제주 제주시
260,261,(주)모나미,"코스피, 중견기업, 외부감사법인, 수출입..",200 명  (2022년 기준),1967년 12월 28일 (업력 55년) ,www.monami.com,경기 용인시
261,262,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",0,0,passorder.co.kr,부산 부산진구
262,263,(주)스마트프로,"중소기업, 주식회사",15 명  (2021년 기준),2016년 6월 17일 (업력 6년) ,www.smart-pro.co.kr,대전 유성구
263,264,제이어스(주),중소기업,0,2014년 11월 18일 (업력 8년) ,www.jeios.com,부산 사상구
264,265,(주)스위트케이,"중소기업, 주식회사",42 명  (2022년 기준),2013년 12월 11일 (업력 9년) ,sweetk.co.kr,경기 안양시
265,266,(주)한컴라이프케어,"코스피, 외부감사법인, 수출입 기업",237 명  (2022년 기준),1996년 12월 30일 (업력 26년) ,www.hancomlifecare.com,경기 용인시
266,267,(주)에스티에스엔지니어링,"중소기업, 연구소, 주식회사",0,2020년 5월 18일 (업력 2년) ,aists.co.kr,충북 청주시
267,268,제이어스(주),중소기업,0,2014년 11월 18일 (업력 8년) ,www.jeios.com,부산 사상구
268,269,(주)디알텍,"코스닥, 중소기업, 주식회사, 병역특례 ..",278 명  (2022년 기준),2015년 2월 3일 (업력 7년) ,www.drtech.co.kr,경기 성남시
269,270,(주)애드,중소기업,0,2018년 4월 17일 (업력 4년) ,addd.kr,대전 서구
270,271,(주)캐시카우,"중소기업, 주식회사",15 명  (2018년 기준),2014년 10월 23일 (업력 8년) ,www.cash-cow.co.kr,경기 성남시
271,272,(주)온마이뎁,중소기업,0,2021년 1월 29일 (업력 1년) ,,경기 성남시
272,273,㈜네오플,"대기업, 1000대기업, 외부감사법인",0,0,www.neople.co.kr,제주 제주시
273,274,(주)플랜티넷,"코스닥, 외부감사법인, 주식회사, 병역특..",0,0,www.plantynet.com,경기 성남시
274,275,(주)넷케이티아이,"중소기업, 외부감사법인, 주식회사",0,0,www.kti.co.kr,경기 성남시
275,276,이케이 주식회사,"중소기업, 스타트업, 주식회사",70 명  (2022년 기준),0,www.kidkids.net,경기 용인시
276,277,(주)리얼시큐,"중소기업, 주식회사",0,0,www.realsecu.net,부산 해운대구
277,278,(주)헥스콘,"중소기업, 주식회사",0,2022년 2월 4일 (업력 0년) ,,경남 창원시
278,279,(주)헥스콘,"중소기업, 주식회사",0,2022년 2월 4일 (업력 0년) ,,경남 창원시
279,280,(주)어뮤즈랩,"중소기업, 주식회사",9 명  (2022년 기준),2015년 12월 10일 (업력 7년) ,www.amuzlab.com,경기 성남시
280,281,(주)퓨전소프트,외부감사법인,0,0,www.fusionsoft.co.kr,대구 동구
281,282,㈜네오플,"대기업, 1000대기업, 외부감사법인",0,0,www.neople.co.kr,제주 제주시
282,283,(주)이엠포커스,중소기업,14 명  (2022년 기준),2013년 5월 21일 (업력 9년) ,,경기 안산시
283,284,(주)비솔,수출입 기업,27 명  (2022년 기준),2000년 1월 6일 (업력 22년) ,www.visol.co.kr,경기 광명시
284,285,(주)올림커뮤니케이션즈,"중소기업, 연구소",17 명  (2019년 기준),2009년 7월 15일 (업력 13년) ,www.olym.co.kr,충북 청주시
285,286,(주)에이오팜,"중소기업, 주식회사",0,2021년 3월 15일 (업력 1년) ,www.aiofarm.co.kr,경기 성남시
286,287,(주)엔켐,"코스닥, 중소기업, 외부감사법인, 주식회..",261 명  (2022년 기준),2012년 1월 26일 (업력 10년) ,www.enchem.net,충북 제천시
287,288,(주)에이티솔루션,중소기업,0,2017년 1월 26일 (업력 5년) ,,부산 기장군
288,289,에이엠스퀘어(주),"중소기업, 주식회사",0,2019년 3월 7일 (업력 3년) ,amsquare.ai,경북 포항시
289,290,(주)플라잎,중소기업,0,2020년 1월 29일 (업력 2년) ,www.plaif.com,-
290,291,(주)플라잎,중소기업,0,2020년 1월 29일 (업력 2년) ,www.plaif.com,-
291,292,주식회사 엑세스워터,"중소기업, 주식회사",0,0,,대구 달서구
292,293,㈜더아이엠씨,"중소기업, 주식회사, 병역특례 인증업체",0,0,http://www.theimc.co.kr/,대구 수성구
293,294,바이오링크 주식회사 ,,0,0,,대구 달서구
294,295,아이티사이언스(주),"중소기업, 스타트업, 외부감사법인, 주식..",162 명  (2021년 기준),2002년 11월 25일 (업력 20년) ,www.itscience.co.kr,경기 안양시
295,296,(주)파츠몰,"중견기업, 주식회사, 외부감사법인, 수출..",32 명  (2021년 기준),0,www.parts-mall.com,경기 고양시
296,297,시큐웍스(대전),"중소기업, 외부감사법인, 주식회사, 수출..",0,0,www.secu-works.com,대전 유성구
297,298,디에스엠이정보시스템(주),대기업,217 명  (2021년 기준),2016년 12월 28일 (업력 6년) ,www.dsmeinc.com,경남 거제시
298,299,(주)데이터에듀,"중소기업, 주식회사",32 명  (2021년 기준),2019년 1월 28일 (업력 3년) ,www.dataedu.co.kr,부산 해운대구
299,300,(주)제이에스티앤랩,중소기업,18 명  (2018년 기준),2008년 12월 2일 (업력 14년) ,www.js-t.co.kr,인천 연수구
300,301,(주)코아시아씨엠,"중소기업, 연구소",0,2020년 10월 19일 (업력 2년) ,,경기 화성시
301,302,(주)코아시아씨엠,"중소기업, 연구소",0,2020년 10월 19일 (업력 2년) ,,경기 화성시
302,303,(주)클로버스튜디오,중소기업,0,2019년 7월 25일 (업력 3년) ,,인천 연수구
303,304,(주)플렉싱크,"중소기업, 주식회사",20 명  (2020년 기준),2010년 4월 28일 (업력 12년) ,http://www.flexink.com,제주 제주시
304,305,포체인스(주),중소기업,0,2021년 9월 23일 (업력 1년) ,,경기 고양시
305,306,(주)시스콘,"중소기업, 주식회사, 병역특례 인증업체",0,0,www.syscon.kr,인천 서구
306,307,(주)메디칼파크,"중소기업, 외부감사법인, 연구소, 주식회..",77 명  (2021년 기준),2008년 1월 4일 (업력 14년) ,imedicalpark.com,경기 용인시
307,308,(주)다누시스,"중소기업, 연구소, 주식회사, 병역특례 ..",61 명  (2022년 기준),2002년 10월 2일 (업력 20년) ,www.danusys.com,경기 광명시
308,309,쿤텍(주),"중소기업, 연구소, 주식회사",39 명  (2022년 기준),2016년 1월 28일 (업력 6년) ,www.coontec.com,경기 성남시
309,310,쿤텍(주),"중소기업, 연구소, 주식회사",39 명  (2022년 기준),2016년 1월 28일 (업력 6년) ,www.coontec.com,경기 성남시
310,311,(주)데이터메이커,중소기업,0,2018년 10월 19일 (업력 4년) ,www.datamaker.io,대전 유성구
311,312,비앤에프테크놀로지(주),중소기업,77 명  (2019년 기준),2000년 11월 10일 (업력 22년) ,www.bnftech.com,대전 유성구
312,313,(주)오비고,"코스닥, 외국인 투자기업, 외부감사법인,..",111 명  (2022년 기준),2003년 3월 18일 (업력 19년) ,www.obigo.com,경기 성남시
313,314,(주)이노메트리,"코스닥, 중소기업, 주식회사",143 명  (2022년 기준),2008년 6월 3일 (업력 14년) ,www.innometry.com,경기 화성시
314,315,(주)두잇시스템,중소기업,223 명  (2021년 기준),2004년 2월 16일 (업력 18년) ,www.doitsys.co.kr,서울 영등포구
315,316,주식회사 미코,중소기업,0,0,,인천 서구
316,317,(주)두플,"중소기업, 주식회사",0,0,www.doople.net,경기 성남시
317,318,(주)얼라인드제네틱스,"코스닥, 중소기업, 스타트업, 주식회사, ..",52 명  (2022년 기준),2008년 10월 2일 (업력 14년) ,www.alignedgenetics.com,경기 안양시
318,319,(주)덕산테코피아 천안사업장,"1000대기업, 외부감사법인, 주식회사",220 명  (2021년 기준),2016년 11월 9일 (업력 6년) ,www.dstp.co.kr,충남 천안시
319,320,(주)동서가구,"중소기업, 외부감사법인, 주식회사, 수출..",85 명  (2021년 기준),2013년 8월 23일 (업력 9년) ,www.dongsuhfurniture.co.kr,경기 성남시
320,321,네이버제트(주),대기업,252 명  (2021년 기준),2020년 5월 6일 (업력 2년) ,,경기 성남시
321,322,(주)제이숲,중소기업,0,0,www.jsoop.co.kr,경기 의정부시
322,323,(주)투버미디어,"중소기업, 주식회사",12 명  (2022년 기준),0,www.2ver.com,대구 남구
323,324,주식회사 명품입찰,중소기업,0,0,www.mpbid.co.kr,대전 동구
324,325,주식회사 명품입찰,중소기업,0,0,www.mpbid.co.kr,대전 동구
325,326,이룸컨설팅(주),"중소기업, 주식회사",0,2021년 11월 25일 (업력 1년) ,www.we-bid.co.kr,경기 화성시
326,327,스포츠투아이(주),"중소기업, 주식회사",66 명  (2021년 기준),1999년 12월 9일 (업력 23년) ,www.sports2i.com,경기 성남시
327,328,삼인이엔에스(주),"중소기업, 스타트업, 주식회사",24 명  (2019년 기준),2006년 11월 6일 (업력 16년) ,www.saminis.com,부산 해운대구
328,329,(주)아이비젼웍스,"중소기업, 주식회사, 수출입 기업",70 명  (2021년 기준),2015년 4월 20일 (업력 7년) ,,대전 유성구
329,330,(주)와이즈레이크,중소기업,14 명  (2022년 기준),2022년 1월 28일 (업력 0년) ,wiselake.co.kr/,경기 안양시
330,331,(주)에스브이씨,중소기업,8 명  (2022년 기준),2018년 8월 6일 (업력 4년) ,,경남 양산시
331,332,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",0,0,passorder.co.kr,부산 부산진구
332,333,에프원소프트(주),"중소기업, 스타트업, 병역특례 인증업체",0,0,www.f1soft.co.kr,경기 화성시
333,334,에프원소프트(주),"중소기업, 스타트업, 병역특례 인증업체",0,0,www.f1soft.co.kr,경기 화성시
334,335,(주)에스티에이테스팅컨설팅,"중소기업, 스타트업, 주식회사",185 명  (2022년 기준),0,www.sta.co.kr,서울 강남구
335,336,(주)에스티에이테스팅컨설팅,"중소기업, 스타트업, 주식회사",185 명  (2022년 기준),0,www.sta.co.kr,서울 강남구
336,337,(주)플랜아이,"중소기업, 주식회사, 병역특례 인증업체,..",116 명  (2022년 기준),2004년 11월 26일 (업력 18년) ,www.plani.co.kr,대전 유성구
337,338,(주)발렌타인드림,"중소기업, 연구소, 주식회사",0,0,www.bdm.works/,서울 강남구
338,339,(주)유라,중견기업,0,0,www.yura.co.kr,경기 화성시
339,340,한국딥러닝(주),"중소기업, 주식회사",0,2019년 5월 20일 (업력 3년) ,www.koreadeep.com/,경기 성남시
340,341,원테크원(주),중소기업,12 명  (2022년 기준),2020년 2월 6일 (업력 2년) ,,경기 하남시
341,342,디휴브,"중소기업, 주식회사",0,0,,경기 고양시
342,343,한국딥러닝(주),"중소기업, 주식회사",0,2019년 5월 20일 (업력 3년) ,www.koreadeep.com/,경기 성남시
343,344,(주)더컴퍼니,"중소기업, 주식회사",0,2016년 5월 17일 (업력 6년) ,bestco.kr,경남 창원시
344,345,백제약품(주) 영등포지점,"외부감사법인, 주식회사",740 명  (2021년 기준),1946년 8월 6일 (업력 76년) ,http://www.baekje.net/,서울 구로구
345,346,원테크원(주),중소기업,12 명  (2022년 기준),2020년 2월 6일 (업력 2년) ,,경기 하남시
346,347,에이에프주식회사,,0,0,,경기 화성시
347,348,캐논코리아 주식회사,"대기업, 1000대기업, 외국인 투자기업, ..",0,0,https://kr.canon/,서울 강남구
348,349,(주)스마일게이트엔터테인먼트,"중견기업, 주식회사, 외부감사법인",791 명  (2021년 기준),2002년 6월 11일 (업력 20년) ,www.smilegate.com,경기 성남시
349,350,(주)에이치엠이스퀘어,"중소기업, 주식회사",0,2020년 2월 7일 (업력 2년) ,www.hmesquare.com,대전 유성구
350,351,주식회사 한국미래에너지,주식회사,25 명  (2021년 기준),0,www.rfems.com,부산 강서구
351,352,스타법무법인,중소기업,0,2022년 4월 6일 (업력 0년) ,www.star-law.com/08_career/,대구 중구
352,353,(주)이루온아이앤에스,"중소기업, 주식회사",0,0,www.eluonins.com,경기 성남시
353,354,(주)인실리코젠,"중소기업, 주식회사, 병역특례 인증업체",0,0,insilicogen.com,경기 용인시
354,355,주식회사 아이디케이,"중소기업, 주식회사",0,0,,대전 유성구
355,356,(주)아인스텍,"중소기업, 주식회사",12 명  (2017년 기준),2002년 4월 25일 (업력 20년) ,www.einstek.com,경기 고양시
356,357,(주)대건소프트,"중소기업, 주식회사",26 명  (2022년 기준),2015년 4월 15일 (업력 7년) ,www.daegunsoft.com,대전 유성구
357,358,(주)경복궁면세점,"중소기업, 외부감사법인, 주식회사",36 명  (2022년 기준),2013년 11월 15일 (업력 9년) ,www.entasdfs.com,인천 중구
358,359,대원종합건설(주),중소기업,6 명  (2015년 기준),2012년 5월 2일 (업력 10년) ,,경남 밀양시
359,360,(주)페이타랩,"중소기업, 스타트업, 주식회사, 병역특례..",52 명  (2022년 기준),2018년 2월 28일 (업력 4년) ,passorder.co.kr,부산 부산진구
360,361,(주)비솔,수출입 기업,27 명  (2022년 기준),2000년 1월 6일 (업력 22년) ,www.visol.co.kr,경기 광명시
361,362,(주)카모스,"외부감사법인, 연구소, 주식회사, 수출입..",77 명  (2021년 기준),0,www.camos.co.kr,인천 부평구
362,363,(주)아이티존,"중소기업, 주식회사",9 명  (2022년 기준),0,http://www.itzone.co.kr,대전 유성구
363,364,(주)케이윈,"중소기업, 주식회사",10 명  (2018년 기준),2017년 6월 28일 (업력 5년) ,,전북 익산시
364,365,(주)와이즈에이아이,"중소기업, 주식회사",19 명  (2022년 기준),2020년 5월 7일 (업력 2년) ,www.wiseai.co.kr,경기 성남시
365,366,(주)이노서치,"중소기업, 주식회사",12 명  (2018년 기준),0,,서울 강남구
366,367,(주)엔엠에스컨설팅,"중소기업, 주식회사",0,2017년 3월 23일 (업력 5년) ,www.nmsconsulting.co.kr,경기 안산시
367,368,휴먼인써치,,0,0,,경기 용인시
